Place,Sea,Year,Date,Number,L,a,l
Vhg,Baltic Sea,1988,09.03.88,20,NA,3.1,7.9
Vhg,Baltic Sea,1988,09.03.88,4,NA,4,6.5
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,32.1,7.8,11.7
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,33.2,13.5,14.2
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,35.1,8,12.6
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,32.8,12.5,14
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,39.4,12.3,14.4
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,26.3,7.8,8.2
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,29.8,12.2,12.2
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,29.9,11.5,12.7
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,29.9,12,12.5
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,26.8,5.6,10.8
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,14.1,0,6.3
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,32.7,10.5,12.6
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,26.9,7.3,11.8
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,12.3,0,4.5
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,33.4,7.5,13.3
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,28.9,12,12.2
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,31.1,0,13
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,22.9,7.5,9.6
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,26.3,8.5,11.5
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,31.4,12.8,13
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,30.1,11.5,11.5
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,23.9,7.7,8.6
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,30.9,11.9,12
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,21.8,0,8.9
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,25.6,3.5,11.4
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,25.4,0,10
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,34.6,14,16.5
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,30.1,9.5,12
Ranas near Tvarmine,Baltic Sea,1984,NA,NA,16.9,0,7.3
Solvesborg,Baltic Sea,1989,05.04.1989,36,27.3,4.4,11.6
Solvesborg,Baltic Sea,1989,05.04.1989,15,17.8,5.7,6.9
Solvesborg,Baltic Sea,1989,05.04.1989,29,23.7,3.3,10.2
Solvesborg,Baltic Sea,1989,05.04.1989,33,23.5,4.6,10
Solvesborg,Baltic Sea,1989,05.04.1989,28,21.8,0,8.5
Solvesborg,Baltic Sea,1989,05.04.1989,34,24.7,6.5,12.7
Solvesborg,Baltic Sea,1989,05.04.1989,35,27.5,0,13
Solvesborg,Baltic Sea,1989,05.04.1989,37,28.2,7.6,14
Solvesborg,Baltic Sea,1989,05.04.1989,38,25.2,0,11
Solvesborg,Baltic Sea,1989,05.04.1989,39,29.1,0,13
Solvesborg,Baltic Sea,1989,05.04.1989,31,22.7,0,9.2
Solvesborg,Baltic Sea,1989,05.04.1989,19,19.8,5.2,7.2
Solvesborg,Baltic Sea,1989,05.04.1989,12,18.6,2.4,8
Solvesborg,Baltic Sea,1989,05.04.1989,30,22.4,0,10.5
Solvesborg,Baltic Sea,1989,05.04.1989,21,19.6,0,7.5
Solvesborg,Baltic Sea,1989,05.04.1989,27,21.8,7,9.9
Solvesborg,Baltic Sea,1989,05.04.1989,18,19.2,4.8,7
Solvesborg,Baltic Sea,1989,05.04.1989,7,16.2,0,7.1
Solvesborg,Baltic Sea,1989,05.04.1989,9,18.8,1.9,7.6
Solvesborg,Baltic Sea,1989,05.04.1989,20,19.6,6.3,9.5
Solvesborg,Baltic Sea,1989,05.04.1989,24,NA,NA,NA
Solvesborg,Baltic Sea,1989,05.04.1989,26,NA,0,8
Solvesborg,Baltic Sea,1989,05.04.1989,14,17.9,0,7
Solvesborg,Baltic Sea,1989,05.04.1989,23,19.7,0,7.6
Solvesborg,Baltic Sea,1989,05.04.1989,17,19.5,3,7.5
Solvesborg,Baltic Sea,1989,05.04.1989,16,19.5,5.8,8.5
Solvesborg,Baltic Sea,1989,05.04.1989,4,16.2,2.2,6.2
Solvesborg,Baltic Sea,1989,05.04.1989,25,20.9,6.5,8.2
Solvesborg,Baltic Sea,1989,05.04.1989,3,14.7,0,6.1
Solvesborg,Baltic Sea,1989,05.04.1989,22,19.7,6.1,8.8
Solvesborg,Baltic Sea,1989,05.04.1989,13,18.5,8.1,8.1
