sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
OR072,BI,edulis,Bailey Island,0.999985,0.000015,39.3,21,12.7,E
OR073,BI,edulis,Bailey Island,0.999984,0.000016,39,20.9,14.6,E
OR077,BI,edulis,Bailey Island,0.99998,0.00002,39.2,21.1,6.8,E
OR078,BI,edulis,Bailey Island,0.999984,0.000016,36.8,20.6,14.5,E
OR079,BI,trossulus,Bailey Island,5.60E-05,0.999944,36.7,19.6,0,T
OR080,BI,edulis,Bailey Island,0.999985,0.000015,48.4,21.4,16.3,E
OR081,BI,edulis,Bailey Island,0.999988,0.000012,36.8,19.1,15.8,E
OR082,BI,edulis,Bailey Island,0.999988,0.000012,41.4,21.6,17.1,E
OR083,BI,edulis,Bailey Island,0.999988,0.000012,38.8,19.9,19.4,E
OR084,BI,edulis,Bailey Island,0.999982,0.000018,33.5,17.9,14.7,E
OR085,BI,edulis,Bailey Island,0.999989,0.000011,39.1,21.3,15.9,E
OR087,BI,edulis,Bailey Island,0.999987,0.000013,40.5,21.5,17.4,E
OR089,BI,edulis,Bailey Island,0.999988,0.000012,36.9,19.7,16,E
OR244,MDRE,trossulus,Mount Desert Rock East,4.40E-05,0.999956,37.9,18.8,0,T
OR253,MDRE,edulis,Mount Desert Rock East,0.999973,0.000027,40.9,26.7,14.2,E
OR254,MDRE,edulis,Mount Desert Rock East,0.999979,0.000021,34.9,21.2,19.9,E
OR255,MDRE,edulis,Mount Desert Rock East,0.999953,0.000047,29.6,15.6,10.5,E
OR256,MDRE,edulis,Mount Desert Rock East,0.99998,0.00002,37.9,19.6,19.6,E
OR257,MDRE,edulis,Mount Desert Rock East,0.999979,0.000021,33.3,16,14.5,E
OR258,MDRE,edulis,Mount Desert Rock East,0.999958,0.000042,29.6,15.6,6.9,E
OR260,MDRE,hybrid,Mount Desert Rock East,0.513607,0.486393,41.6,21.9,0,T
OR261,MDRE,edulis,Mount Desert Rock East,0.999971,0.000029,35.6,20.3,13.6,E
OR263,MDRE,edulis,Mount Desert Rock East,0.999978,0.000022,37.1,21,13.5,E
OR264,MDRE,edulis,Mount Desert Rock East,0.999975,0.000025,34.9,19.3,17.5,E
OR265,MDRE,trossulus,Mount Desert Rock East,0.030255,0.969745,31.8,18.7,0,T
OR269,MDRE,edulis,Mount Desert Rock East,0.999965,0.000035,31.9,19.3,8.9,E
OR271,MDRE,edulis,Mount Desert Rock East,0.99998,0.00002,36.3,20.3,17.5,E
OR272,MDRE,edulis,Mount Desert Rock East,0.99998,0.00002,32.4,16.3,10.9,E
OR273,MDRE,edulis,Mount Desert Rock East,0.999972,0.000028,35.9,19.4,16,E
OR274,MDRE,trossulus,Mount Desert Rock East,4.40E-05,0.999956,37.1,22.8,0,T
OR275,MDRE,edulis,Mount Desert Rock East,0.999979,0.000021,27.5,17.9,12.3,E
OR277,MDRE,edulis,Mount Desert Rock East,0.999981,0.000019,37.4,22.4,16.2,E
OR278,MDRE,edulis,Mount Desert Rock East,0.99993,0.00007,42.6,21.2,19.2,E
OR280,MDRE,edulis,Mount Desert Rock East,0.999936,0.000064,30,19.7,14.2,E
OR281,MDRE,trossulus,Mount Desert Rock East,7.40E-05,0.999926,43.7,28.1,0,T
OR282,MDRE,trossulus,Mount Desert Rock East,5.60E-05,0.999944,29.4,18.5,0,T
OR283,MDRE,edulis,Mount Desert Rock East,0.999866,0.000134,44.8,25.7,13.5,E
RE016,PH,edulis,Phippsburg The Basin,0.999988,0.000012,34.1,17.3,16.2,E
RE061,PH,edulis,Phippsburg The Basin,0.999983,0.000017,50.4,22.7,22.7,E
RE062,PH,edulis,Phippsburg The Basin,0.999987,0.000013,51.2,25.1,16.6,E
