sample_ID,pop_ID,species,location,edulis,trossulus
WH204,VH,edulis,Vinalhaven,0.999979,0.000021
WH209,VH,edulis,Vinalhaven,0.999983,0.000017
WH210,VH,edulis,Vinalhaven,0.999982,0.000018
WH211,VH,edulis,Vinalhaven,0.999978,0.000022
WH213,VH,edulis,Vinalhaven,0.999965,0.000035
WH214,VH,edulis,Vinalhaven,0.999973,0.000027
WH215,VH,edulis,Vinalhaven,0.999951,0.000049
WH216,VH,edulis,Vinalhaven,0.99998,0.00002
WH218,VH,edulis,Vinalhaven,0.99998,0.00002
WH219,VH,edulis,Vinalhaven,0.999979,0.000021
WH220,VH,edulis,Vinalhaven,0.999981,0.000019
WH221,VH,edulis,Vinalhaven,0.999979,0.000021
WH231,VH,edulis,Vinalhaven,0.999982,0.000018
WH233,VH,edulis,Vinalhaven,0.999978,0.000022
WH234,VH,edulis,Vinalhaven,0.999984,0.000016
WH238,VH,edulis,Vinalhaven,0.999969,0.000031
WH239,VH,edulis,Vinalhaven,0.999938,0.000062
WH240,VH,edulis,Vinalhaven,0.999982,0.000018
WH242,VH,edulis,Vinalhaven,0.999979,0.000021
WH243,VH,edulis,Vinalhaven,0.999984,0.000016
WH244,VH,edulis,Vinalhaven,0.999981,0.000019
WH245,VH,edulis,Vinalhaven,0.999961,0.000039
WH246,VH,edulis,Vinalhaven,0.999974,0.000026
WH247,VH,edulis,Vinalhaven,0.999982,0.000018
WH248,VH,edulis,Vinalhaven,0.99998,0.00002
WH249,VH,edulis,Vinalhaven,0.999984,0.000016
WH250,VH,edulis,Vinalhaven,0.999978,0.000022
WH251,VH,edulis,Vinalhaven,0.999978,0.000022
WH252,VH,edulis,Vinalhaven,0.999983,0.000017
WH253,VH,edulis,Vinalhaven,0.99995,0.00005
WH255,VH,edulis,Vinalhaven,0.999825,0.000175
WH256,VH,edulis,Vinalhaven,0.999967,0.000033
WH257,VH,edulis,Vinalhaven,0.999977,0.000023
WH259,VH,edulis,Vinalhaven,0.999977,0.000023
WH260,VH,edulis,Vinalhaven,0.999951,0.000049
WH261,VH,edulis,Vinalhaven,0.999973,0.000027
WH262,VH,edulis,Vinalhaven,0.999983,0.000017
WH263,VH,edulis,Vinalhaven,0.99997,0.00003
WH264,VH,edulis,Vinalhaven,0.99998,0.00002
WH265,VH,edulis,Vinalhaven,0.999974,0.000026
WH267,VH,edulis,Vinalhaven,0.999979,0.000021
WH268,VH,edulis,Vinalhaven,0.999942,0.000058
WH281,VH,edulis,Vinalhaven,0.999955,0.000045
WH283,VH,edulis,Vinalhaven,0.999882,0.000118
WH284,VH,edulis,Vinalhaven,0.999978,0.000022
WH285,VH,edulis,Vinalhaven,0.99997,0.00003
WH286,VH,edulis,Vinalhaven,0.999983,0.000017
WH287,VH,edulis,Vinalhaven,0.999982,0.000018
WH289,VH,edulis,Vinalhaven,0.999981,0.000019
WH290,VH,edulis,Vinalhaven,0.999979,0.000021
WH292,VH,edulis,Vinalhaven,0.999982,0.000018
WH293,VH,edulis,Vinalhaven,0.999981,0.000019
WH294,VH,edulis,Vinalhaven,0.999944,0.000056
WH295,VH,edulis,Vinalhaven,0.999976,0.000024
WH296,VH,edulis,Vinalhaven,0.999945,0.000055
WH297,VH,edulis,Vinalhaven,0.999977,0.000023
WH298,VH,edulis,Vinalhaven,0.999965,0.000035
WHOR265,MDRW,edulis,Mount Desert Rock West,0.999972,0.000028
WHOR266,MDRW,edulis,Mount Desert Rock West,0.999977,0.000023
WHOR267,MDRW,edulis,Mount Desert Rock West,0.999971,0.000029
WHOR272,MDRW,edulis,Mount Desert Rock West,0.999937,0.000063
WHOR273,MDRW,edulis,Mount Desert Rock West,0.999952,0.000048
WHOR274,MDRW,edulis,Mount Desert Rock West,0.999954,0.000046
WHOR275,MDRW,edulis,Mount Desert Rock West,0.999977,0.000023
WHOR276,MDRW,edulis,Mount Desert Rock West,0.999977,0.000023
WHOR277,MDRW,edulis,Mount Desert Rock West,0.999978,0.000022
